reference,fournisseur,couleur,matiere,motif,saison,col,finition,style,usage
REF00798,F097,rouge,synthetique,imprime,mi-saison,montant,premium,sportif,soiree
REF00799,F098,noir,lin,uni,hiver,v,premium,sportif,sport
REF00800,F099,rouge,synthetique,uni,ete,montant,standard,classique,soiree
REF00801,F100,bleu,coton,imprime,hiver,v,premium,classique,soiree
REF00802,F101,bleu,lin,imprime,mi-saison,rond,standard,chic,soiree
REF00803,F102,rouge,laine,raye,hiver,rond,standard,sportif,sport
REF00804,F103,rouge,synthetique,uni,hiver,rond,premium,sportif,soiree
REF00805,F104,vert,lin,uni,mi-saison,montant,premium,sportif,ville
REF00806,F105,vert,lin,raye,mi-saison,v,premium,sportif,soiree
REF00807,F106,bleu,coton,uni,hiver,montant,standard,classique,sport
REF00808,F107,bleu,synthetique,imprime,mi-saison,montant,standard,classique,soiree
REF00809,F108,noir,coton,raye,hiver,v,standard,chic,ville
REF00810,F109,bleu,lin,uni,ete,rond,standard,classique,ville
REF00811,F110,bleu,synthetique,imprime,ete,montant,standard,classique,soiree
REF00812,F111,rouge,coton,uni,ete,montant,standard,classique,sport
REF00813,F112,vert,coton,uni,mi-saison,montant,standard,chic,ville
REF00814,F113,noir,synthetique,imprime,mi-saison,montant,premium,sportif,soiree
REF00815,F114,bleu,laine,uni,hiver,v,standard,classique,sport
REF00816,F115,rouge,synthetique,uni,mi-saison,rond,premium,sportif,sport
REF00817,F116,bleu,laine,uni,hiver,v,standard,chic,sport
REF00818,F117,noir,laine,uni,hiver,v,standard,sportif,ville
REF00819,F118,noir,laine,uni,ete,rond,standard,classique,soiree
REF00820,F119,noir,lin,imprime,hiver,montant,standard,sportif,soiree
REF00821,F120,bleu,lin,uni,ete,rond,premium,sportif,sport
REF00822,F121,bleu,lin,raye,ete,rond,premium,sportif,sport
REF00823,F122,rouge,coton,imprime,hiver,montant,standard,sportif,sport
REF00824,F123,vert,coton,uni,ete,v,premium,chic,ville
REF00825,F124,bleu,synthetique,raye,mi-saison,v,standard,chic,sport
REF00826,F125,vert,laine,imprime,hiver,montant,standard,sportif,ville
REF00827,F126,bleu,laine,uni,mi-saison,v,standard,chic,soiree
REF00828,F127,rouge,laine,uni,ete,v,premium,classique,sport
REF00829,F128,vert,coton,uni,ete,montant,standard,chic,soiree
REF00830,F129,bleu,coton,uni,mi-saison,rond,premium,chic,ville
REF00831,F130,noir,coton,uni,ete,v,premium,sportif,soiree
REF00832,F131,rouge,laine,raye,ete,rond,premium,chic,sport
REF00833,F132,bleu,laine,imprime,ete,v,standard,chic,ville
REF00834,F133,noir,coton,raye,ete,rond,standard,chic,soiree
REF00835,F134,vert,synthetique,imprime,hiver,v,standard,classique,ville
REF00836,F135,noir,lin,raye,mi-saison,v,standard,sportif,ville
REF00837,F136,vert,laine,raye,hiver,rond,premium,classique,sport
REF00838,F137,rouge,coton,imprime,hiver,v,standard,chic,sport
REF00839,F138,noir,coton,uni,ete,montant,standard,sportif,ville
REF00840,F139,bleu,synthetique,imprime,hiver,v,premium,classique,soiree
REF00841,F000,vert,lin,uni,hiver,montant,premium,classique,ville
REF00842,F001,rouge,synthetique,imprime,ete,v,premium,classique,sport
REF00843,F002,noir,laine,raye,hiver,rond,standard,sportif,sport
REF00844,F003,bleu,synthetique,uni,mi-saison,v,premium,classique,soiree
REF00845,F004,bleu,lin,raye,ete,rond,premium,chic,ville
REF00846,F005,noir,coton,imprime,hiver,montant,premium,chic,soiree
REF00847,F006,noir,synthetique,imprime,hiver,rond,standard,sportif,sport
REF00848,F007,vert,coton,imprime,mi-saison,v,premium,sportif,sport
REF00849,F008,noir,laine,uni,ete,rond,premium,sportif,sport
REF00850,F009,noir,laine,imprime,ete,v,standard,sportif,sport
REF00851,F010,rouge,synthetique,imprime,mi-saison,v,premium,chic,soiree
REF00852,F011,rouge,laine,uni,hiver,rond,premium,classique,ville
REF00853,F012,noir,lin,raye,ete,rond,premium,classique,sport
REF00854,F013,vert,synthetique,imprime,mi-saison,v,standard,classique,soiree
REF00855,F014,bleu,coton,raye,mi-saison,rond,standard,sportif,soiree
REF00856,F015,noir,lin,imprime,hiver,montant,standard,chic,ville
REF00857,F016,vert,laine,imprime,hiver,montant,premium,chic,soiree
REF00858,F017,bleu,laine,uni,mi-saison,rond,premium,chic,sport
REF00859,F018,noir,laine,imprime,mi-saison,montant,premium,sportif,sport
REF00860,F019,noir,lin,raye,hiver,montant,premium,classique,ville
REF00861,F020,noir,laine,imprime,hiver,montant,premium,chic,sport
REF00862,F021,bleu,lin,raye,ete,v,standard,chic,soiree
REF00863,F022,vert,coton,raye,hiver,v,premium,classique,soiree
REF00864,F023,vert,synthetique,raye,ete,v,premium,chic,sport
REF00865,F024,vert,synthetique,imprime,ete,v,standard,chic,ville
REF00866,F025,bleu,lin,imprime,hiver,rond,premium,classique,sport
REF00867,F026,vert,laine,uni,hiver,montant,standard,chic,ville
REF00868,F027,rouge,laine,imprime,ete,montant,standard,sportif,soiree
REF00869,F028,vert,synthetique,uni,mi-saison,rond,standard,sportif,soiree
REF00870,F029,noir,coton,raye,ete,montant,standard,chic,ville
REF00871,F030,noir,lin,uni,mi-saison,rond,premium,chic,soiree
REF00872,F031,bleu,laine,uni,ete,rond,standard,classique,ville
REF00873,F032,bleu,synthetique,uni,hiver,v,premium,classique,soiree
REF00874,F033,rouge,laine,uni,ete,rond,premium,classique,sport
REF00875,F034,rouge,synthetique,uni,hiver,rond,standard,sportif,ville
REF00876,F035,bleu,synthetique,raye,ete,montant,premium,sportif,soiree
REF00877,F036,vert,coton,uni,ete,rond,standard,classique,soiree
REF00878,F037,rouge,synthetique,imprime,hiver,montant,premium,classique,ville
REF00879,F038,rouge,laine,raye,hiver,rond,premium,classique,sport
REF00880,F039,vert,laine,imprime,mi-saison,montant,premium,sportif,ville
REF00881,F040,bleu,lin,raye,mi-saison,v,premium,sportif,soiree
REF00882,F041,bleu,coton,uni,hiver,v,standard,sportif,soiree
REF00883,F042,noir,lin,uni,ete,rond,standard,classique,sport
REF00884,F043,rouge,lin,uni,hiver,rond,standard,classique,soiree
REF00885,F044,rouge,coton,imprime,ete,rond,premium,sportif,sport
REF00886,F045,vert,lin,uni,mi-saison,rond,premium,sportif,sport
REF00887,F046,rouge,synthetique,raye,ete,montant,standard,classique,soiree
REF00888,F047,noir,synthetique,raye,hiver,rond,premium,sportif,soiree
REF00889,F048,vert,lin,imprime,ete,v,premium,chic,sport
REF00890,F049,noir,coton,imprime,ete,montant,premium,classique,sport
REF00891,F050,noir,lin,imprime,hiver,rond,standard,sportif,soiree
REF00892,F051,bleu,lin,uni,mi-saison,rond,standard,chic,ville
REF00893,F052,rouge,lin,raye,ete,rond,premium,sportif,soiree
REF00894,F053,vert,synthetique,uni,ete,montant,premium,chic,ville
REF00895,F054,rouge,lin,imprime,mi-saison,rond,standard,sportif,sport
REF00896,F055,bleu,coton,imprime,ete,rond,premium,classique,soiree
REF00897,F056,noir,coton,raye,hiver,v,premium,classique,soiree
REF00898,F057,vert,synthetique,raye,hiver,v,standard,sportif,ville
REF00899,F058,bleu,laine,uni,hiver,rond,standard,sportif,sport
REF00900,F059,rouge,synthetique,raye,mi-saison,rond,premium,sportif,soiree
REF00901,F060,bleu,lin,raye,mi-saison,rond,premium,chic,sport
REF00902,F061,noir,synthetique,imprime,mi-saison,montant,standard,sportif,sport
REF00903,F062,rouge,laine,uni,hiver,v,standard,sportif,ville
REF00904,F063,noir,lin,uni,ete,rond,premium,chic,soiree
REF00905,F064,bleu,coton,uni,ete,rond,standard,classique,sport
REF00906,F065,noir,synthetique,raye,hiver,montant,premium,classique,soiree
REF00907,F066,noir,synthetique,imprime,ete,rond,premium,sportif,sport
REF00908,F067,rouge,coton,uni,ete,v,premium,chic,soiree
REF00909,F068,vert,coton,raye,mi-saison,v,standard,classique,soiree
REF00910,F069,vert,lin,imprime,mi-saison,v,standard,chic,soiree
REF00911,F070,bleu,laine,imprime,mi-saison,v,premium,chic,ville
REF00912,F071,noir,coton,uni,mi-saison,v,premium,chic,sport
REF00913,F072,vert,lin,uni,hiver,montant,premium,classique,soiree
REF00914,F073,noir,synthetique,imprime,ete,rond,standard,sportif,sport
REF00915,F074,bleu,coton,raye,hiver,rond,standard,sportif,soiree
REF00916,F075,vert,lin,raye,mi-saison,montant,premium,chic,ville
REF00917,F076,noir,coton,imprime,hiver,v,premium,classique,soiree
REF00918,F077,bleu,lin,imprime,hiver,montant,standard,classique,ville
REF00919,F078,vert,coton,raye,hiver,rond,standard,sportif,ville
REF00920,F079,noir,coton,uni,mi-saison,montant,premium,sportif,soiree
REF00921,F080,noir,laine,imprime,mi-saison,montant,standard,chic,ville
REF00922,F081,bleu,synthetique,raye,hiver,montant,standard,sportif,sport
REF00923,F082,rouge,synthetique,uni,mi-saison,montant,standard,classique,soiree
REF00924,F083,rouge,lin,raye,ete,rond,premium,classique,soiree
REF00925,F084,vert,laine,raye,hiver,montant,premium,chic,ville
REF00926,F085,bleu,coton,uni,hiver,montant,standard,sportif,ville
REF00927,F086,noir,synthetique,uni,hiver,rond,premium,sportif,ville
REF00928,F087,vert,lin,imprime,hiver,rond,standard,classique,soiree
REF00929,F088,vert,coton,raye,hiver,montant,standard,classique,soiree
REF00930,F089,vert,lin,imprime,mi-saison,montant,standard,chic,ville
REF00931,F090,bleu,laine,uni,mi-saison,montant,premium,chic,soiree
REF00932,F091,vert,laine,uni,hiver,rond,premium,sportif,ville
REF00933,F092,noir,lin,imprime,mi-saison,v,premium,sportif,soiree
REF00934,F093,rouge,coton,uni,hiver,rond,standard,sportif,soiree
REF00935,F094,vert,coton,uni,hiver,v,standard,classique,soiree
REF00936,F095,rouge,laine,uni,hiver,montant,premium,sportif,soiree
REF00937,F096,rouge,lin,imprime,mi-saison,v,standard,chic,ville
REF00938,F097,vert,coton,raye,mi-saison,montant,premium,chic,soiree
REF00939,F098,rouge,laine,raye,ete,montant,standard,chic,sport
REF00940,F099,noir,lin,imprime,hiver,rond,standard,chic,sport
REF00941,F100,noir,laine,raye,mi-saison,rond,standard,sportif,ville
REF00942,F101,bleu,lin,raye,mi-saison,montant,standard,sportif,sport
REF00943,F102,bleu,coton,imprime,ete,v,standard,classique,sport
REF00944,F103,rouge,lin,imprime,hiver,v,premium,sportif,soiree
REF00945,F104,noir,synthetique,imprime,mi-saison,rond,standard,chic,soiree
REF00946,F105,noir,synthetique,uni,mi-saison,rond,premium,sportif,sport
REF00947,F106,vert,synthetique,raye,hiver,montant,standard,chic,sport
REF00948,F107,rouge,laine,imprime,hiver,montant,standard,sportif,soiree
REF00949,F108,bleu,coton,uni,ete,rond,premium,classique,soiree
REF00950,F109,vert,coton,raye,ete,rond,premium,classique,ville
REF00951,F110,rouge,coton,raye,mi-saison,v,premium,chic,sport
REF00952,F111,rouge,laine,uni,ete,v,standard,sportif,soiree
REF00953,F112,vert,laine,raye,mi-saison,v,standard,chic,sport
REF00954,F113,bleu,synthetique,uni,hiver,v,standard,classique,sport
REF00955,F114,vert,coton,imprime,hiver,v,premium,chic,ville
REF00956,F115,vert,coton,imprime,mi-saison,montant,standard,chic,ville
REF00957,F116,rouge,synthetique,raye,ete,v,standard,chic,soiree
REF00958,F117,vert,lin,uni,mi-saison,rond,premium,classique,soiree
REF00959,F118,noir,coton,uni,hiver,rond,standard,chic,sport
REF00960,F119,bleu,laine,raye,ete,montant,standard,sportif,ville
REF00961,F120,rouge,lin,uni,ete,v,premium,chic,ville
REF00962,F121,bleu,laine,raye,mi-saison,rond,premium,sportif,ville
REF00963,F122,noir,coton,raye,ete,v,standard,classique,sport
REF00964,F123,noir,coton,imprime,hiver,v,premium,classique,sport
REF00965,F124,bleu,synthetique,imprime,hiver,montant,premium,sportif,sport
REF00966,F125,bleu,lin,imprime,hiver,montant,premium,chic,ville
REF00967,F126,rouge,lin,uni,mi-saison,v,standard,chic,sport
REF00968,F127,noir,coton,uni,mi-saison,montant,premium,chic,sport
REF00969,F128,vert,synthetique,imprime,mi-saison,v,standard,classique,sport
REF00970,F129,vert,coton,imprime,ete,montant,standard,classique,sport
REF00971,F130,bleu,coton,uni,ete,v,standard,classique,soiree
REF00972,F131,vert,lin,raye,ete,v,standard,chic,ville
REF00973,F132,noir,synthetique,raye,hiver,rond,standard,chic,soiree
REF00974,F133,rouge,lin,uni,hiver,montant,standard,chic,soiree
REF00975,F134,rouge,synthetique,uni,mi-saison,rond,standard,classique,soiree
REF00976,F135,noir,lin,raye,hiver,montant,premium,chic,soiree
REF00977,F136,vert,synthetique,raye,mi-saison,v,standard,classique,soiree
REF00978,F137,noir,lin,imprime,ete,v,premium,chic,soiree
REF00979,F138,noir,synthetique,imprime,ete,v,standard,classique,sport
REF00980,F139,noir,coton,uni,ete,rond,premium,sportif,sport
REF00981,F000,rouge,coton,raye,ete,v,standard,sportif,sport
REF00982,F001,noir,laine,uni,mi-saison,v,standard,chic,soiree
REF00983,F002,vert,synthetique,raye,mi-saison,v,standard,classique,soiree
REF00984,F003,vert,coton,raye,mi-saison,montant,standard,classique,ville
REF00985,F004,noir,lin,imprime,ete,montant,standard,classique,soiree
REF00986,F005,rouge,coton,uni,hiver,montant,standard,classique,sport
REF00987,F006,rouge,laine,uni,hiver,rond,standard,sportif,soiree
REF00988,F007,bleu,coton,imprime,ete,rond,standard,sportif,sport
REF00989,F008,rouge,synthetique,imprime,ete,rond,premium,sportif,sport
REF00990,F009,vert,synthetique,imprime,mi-saison,montant,standard,sportif,ville
REF00991,F010,noir,laine,raye,mi-saison,v,standard,chic,ville
REF00992,F011,bleu,laine,imprime,ete,rond,premium,chic,sport
REF00993,F012,rouge,lin,raye,mi-saison,montant,premium,chic,soiree
REF00994,F013,bleu,synthetique,uni,mi-saison,rond,premium,chic,soiree
REF00995,F014,noir,coton,raye,ete,rond,premium,sportif,ville
REF00996,F015,bleu,laine,raye,mi-saison,rond,premium,chic,sport
REF00997,F016,rouge,coton,raye,ete,rond,premium,classique,ville
REF00998,F017,rouge,synthetique,imprime,hiver,montant,standard,sportif,ville
REF00999,F018,rouge,synthetique,uni,mi-saison,v,standard,classique,ville
REF01000,F019,noir,synthetique,imprime,mi-saison,rond,standard,classique,ville
REF01001,F020,vert,synthetique,imprime,hiver,v,standard,classique,sport
REF01002,F021,bleu,coton,imprime,hiver,rond,premium,classique,ville
REF01003,F022,vert,lin,imprime,mi-saison,v,standard,sportif,sport
REF01004,F023,vert,synthetique,raye,ete,montant,standard,sportif,ville
REF01005,F024,bleu,laine,raye,hiver,rond,standard,classique,ville
REF01006,F025,vert,lin,uni,ete,v,standard,chic,ville
REF01007,F026,vert,lin,raye,mi-saison,v,premium,chic,sport
REF01008,F027,bleu,synthetique,uni,hiver,montant,standard,chic,ville
REF01009,F028,bleu,laine,imprime,ete,montant,standard,classique,sport
REF01010,F029,vert,lin,imprime,ete,v,premium,classique,sport
REF01011,F030,noir,lin,raye,hiver,v,standard,classique,ville
REF01012,F031,bleu,lin,uni,ete,montant,standard,chic,soiree
REF01013,F032,vert,coton,raye,mi-saison,v,premium,classique,ville
REF01014,F033,vert,synthetique,imprime,hiver,montant,premium,sportif,sport
REF01015,F034,rouge,synthetique,imprime,mi-saison,v,premium,sportif,ville
REF01016,F035,noir,synthetique,imprime,hiver,v,premium,chic,sport
REF01017,F036,rouge,laine,raye,mi-saison,v,standard,sportif,ville
REF01018,F037,vert,coton,raye,ete,montant,premium,sportif,soiree
REF01019,F038,vert,laine,imprime,mi-saison,rond,standard,sportif,soiree
REF01020,F039,bleu,lin,uni,hiver,v,premium,sportif,soiree
REF01021,F040,vert,laine,uni,mi-saison,rond,premium,sportif,soiree
REF01022,F041,vert,lin,raye,hiver,montant,premium,classique,soiree
REF01023,F042,noir,synthetique,raye,ete,rond,standard,chic,soiree
REF01024,F043,rouge,synthetique,uni,mi-saison,montant,premium,sportif,ville
REF01025,F044,noir,coton,imprime,hiver,montant,premium,sportif,sport
REF01026,F045,rouge,laine,uni,ete,rond,premium,classique,sport
REF01027,F046,vert,coton,uni,hiver,montant,standard,sportif,soiree
REF01028,F047,vert,synthetique,imprime,hiver,rond,standard,classique,soiree
REF01029,F048,vert,coton,raye,hiver,v,standard,sportif,sport
REF01030,F049,bleu,lin,raye,hiver,montant,premium,chic,ville
REF01031,F050,vert,synthetique,raye,hiver,montant,standard,classique,ville
REF01032,F051,rouge,lin,uni,ete,v,standard,sportif,sport
REF01033,F052,noir,coton,raye,hiver,montant,premium,sportif,soiree
REF01034,F053,bleu,synthetique,raye,hiver,montant,standard,classique,soiree
REF01035,F054,vert,laine,uni,ete,rond,premium,sportif,ville
REF01036,F055,noir,laine,imprime,hiver,montant,premium,classique,soiree
REF01037,F056,bleu,synthetique,imprime,ete,rond,premium,classique,sport
REF01038,F057,vert,synthetique,raye,mi-saison,rond,premium,chic,ville
REF01039,F058,vert,lin,raye,mi-saison,v,standard,classique,soiree
REF01040,F059,vert,coton,raye,ete,montant,premium,sportif,sport
REF01041,F060,bleu,lin,raye,mi-saison,rond,premium,classique,soiree
REF01042,F061,rouge,coton,imprime,hiver,montant,standard,chic,sport
REF01043,F062,rouge,coton,imprime,mi-saison,rond,premium,sportif,sport
REF01044,F063,noir,lin,uni,ete,v,premium,sportif,ville
REF01045,F064,bleu,coton,imprime,mi-saison,rond,standard,classique,ville
REF01046,F065,vert,laine,uni,hiver,montant,premium,chic,sport
REF01047,F066,bleu,coton,imprime,ete,rond,standard,classique,sport
REF01048,F067,bleu,laine,raye,mi-saison,montant,premium,chic,ville
REF01049,F068,vert,synthetique,imprime,hiver,v,standard,chic,soiree
REF01050,F069,vert,coton,raye,hiver,v,premium,sportif,ville
REF01051,F070,vert,lin,uni,ete,rond,standard,sportif,ville
REF01052,F071,bleu,laine,raye,hiver,rond,premium,classique,ville
REF01053,F072,rouge,lin,imprime,ete,rond,standard,classique,ville
REF01054,F073,rouge,laine,uni,hiver,v,standard,chic,sport
REF01055,F074,bleu,synthetique,uni,hiver,montant,premium,classique,sport
REF01056,F075,vert,synthetique,imprime,hiver,rond,premium,classique,sport
REF01057,F076,rouge,coton,uni,ete,v,standard,classique,ville
REF01058,F077,rouge,lin,imprime,hiver,montant,premium,classique,soiree
REF01059,F078,rouge,coton,uni,hiver,v,premium,sportif,sport
REF01060,F079,noir,lin,imprime,ete,montant,standard,sportif,soiree
REF01061,F080,bleu,synthetique,imprime,mi-saison,rond,premium,classique,soiree
REF01062,F081,vert,synthetique,raye,hiver,v,standard,sportif,soiree
REF01063,F082,noir,coton,uni,mi-saison,v,premium,sportif,ville
REF01064,F083,bleu,lin,imprime,hiver,v,premium,chic,soiree
REF01065,F084,bleu,coton,uni,ete,montant,premium,chic,ville
REF01066,F085,rouge,synthetique,imprime,ete,rond,standard,sportif,ville
REF01067,F086,vert,laine,uni,hiver,montant,premium,sportif,ville
REF01068,F087,noir,lin,imprime,ete,v,standard,classique,sport
REF01069,F088,vert,synthetique,uni,mi-saison,v,premium,sportif,soiree
REF01070,F089,rouge,lin,uni,ete,montant,premium,sportif,soiree
REF01071,F090,rouge,coton,imprime,mi-saison,montant,standard,classique,sport
REF01072,F091,rouge,coton,raye,ete,rond,premium,sportif,ville
REF01073,F092,bleu,synthetique,raye,hiver,montant,premium,chic,ville
REF01074,F093,vert,lin,uni,ete,v,standard,sportif,sport
REF01075,F094,noir,laine,uni,ete,rond,standard,chic,sport
REF01076,F095,noir,synthetique,raye,ete,v,standard,chic,ville
REF01077,F096,vert,coton,imprime,ete,v,premium,sportif,sport
REF01078,F097,rouge,coton,uni,hiver,montant,premium,classique,soiree
REF01079,F098,vert,coton,uni,hiver,montant,standard,chic,soiree
REF01080,F099,rouge,coton,imprime,hiver,montant,premium,chic,soiree
REF01081,F100,vert,coton,raye,ete,v,standard,sportif,ville
REF01082,F101,bleu,synthetique,imprime,ete,rond,premium,classique,sport
REF01083,F102,rouge,coton,raye,ete,montant,premium,sportif,ville
REF01084,F103,bleu,coton,uni,mi-saison,montant,standard,sportif,sport
REF01085,F104,vert,coton,raye,ete,v,premium,classique,ville
REF01086,F105,rouge,synthetique,uni,ete,rond,premium,chic,ville
REF01087,F106,rouge,lin,imprime,ete,montant,standard,classique,soiree
REF01088,F107,noir,synthetique,raye,hiver,montant,premium,sportif,sport
REF01089,F108,rouge,lin,imprime,hiver,v,premium,classique,soiree
REF01090,F109,bleu,synthetique,imprime,mi-saison,rond,standard,chic,ville
REF01091,F110,rouge,laine,imprime,ete,montant,premium,chic,sport
REF01092,F111,bleu,coton,uni,mi-saison,v,premium,sportif,soiree
REF01093,F112,bleu,synthetique,uni,mi-saison,v,standard,chic,ville
REF01094,F113,vert,coton,imprime,mi-saison,v,standard,sportif,ville
REF01095,F114,noir,coton,uni,ete,montant,standard,classique,sport
REF01096,F115,vert,coton,raye,mi-saison,rond,standard,classique,soiree
REF01097,F116,bleu,laine,raye,hiver,montant,standard,chic,soiree
REF01098,F117,vert,lin,raye,ete,rond,premium,chic,ville
REF01099,F118,noir,coton,imprime,hiver,v,premium,chic,ville
REF01100,F119,rouge,coton,uni,ete,montant,premium,chic,ville
REF01101,F120,rouge,lin,raye,mi-saison,rond,standard,classique,soiree
REF01102,F121,rouge,lin,imprime,hiver,montant,standard,classique,soiree
REF01103,F122,vert,coton,raye,ete,rond,standard,chic,sport
REF01104,F123,rouge,lin,uni,hiver,montant,premium,classique,ville
REF01105,F124,vert,synthetique,raye,hiver,v,standard,classique,ville
REF01106,F125,bleu,lin,uni,mi-saison,v,premium,sportif,sport
REF01107,F126,bleu,coton,imprime,ete,v,standard,sportif,ville
REF01108,F127,vert,laine,raye,mi-saison,montant,premium,sportif,ville
REF01109,F128,vert,coton,uni,ete,v,standard,classique,ville
REF01110,F129,noir,lin,imprime,hiver,v,premium,sportif,sport
REF01111,F130,noir,synthetique,imprime,mi-saison,montant,premium,sportif,sport
REF01112,F131,bleu,synthetique,uni,ete,montant,premium,sportif,sport
REF01113,F132,vert,lin,raye,hiver,v,standard,sportif,sport
REF01114,F133,bleu,lin,uni,mi-saison,rond,premium,chic,sport
REF01115,F134,vert,laine,raye,mi-saison,montant,premium,classique,soiree
REF01116,F135,bleu,lin,uni,ete,montant,standard,sportif,sport
REF01117,F136,vert,synthetique,uni,ete,montant,premium,sportif,ville
REF01118,F137,bleu,lin,uni,mi-saison,v,premium,sportif,sport
REF01119,F138,bleu,synthetique,raye,ete,rond,standard,classique,ville
REF01120,F139,vert,synthetique,imprime,ete,rond,standard,chic,soiree
REF01121,F000,bleu,coton,uni,hiver,rond,premium,classique,ville
REF01122,F001,noir,lin,imprime,ete,rond,premium,sportif,ville
REF01123,F002,noir,lin,uni,hiver,rond,premium,sportif,soiree
REF01124,F003,vert,lin,uni,hiver,rond,standard,chic,sport
REF01125,F004,vert,coton,uni,ete,montant,premium,classique,ville
REF01126,F005,vert,coton,imprime,ete,montant,standard,chic,sport
REF01127,F006,bleu,laine,uni,ete,v,premium,sportif,soiree
REF01128,F007,rouge,synthetique,uni,hiver,montant,premium,chic,ville
REF01129,F008,bleu,synthetique,raye,ete,rond,standard,classique,ville
REF01130,F009,noir,coton,uni,mi-saison,v,standard,classique,sport
REF01131,F010,rouge,synthetique,uni,mi-saison,v,standard,sportif,ville
REF01132,F011,bleu,lin,imprime,hiver,rond,premium,classique,ville
REF01133,F012,bleu,lin,raye,hiver,montant,premium,classique,sport
REF01134,F013,rouge,laine,imprime,ete,v,premium,sportif,ville
REF01135,F014,rouge,laine,imprime,ete,montant,premium,sportif,ville
REF01136,F015,noir,coton,imprime,mi-saison,montant,standard,chic,ville
REF01137,F016,noir,coton,uni,ete,rond,premium,classique,soiree
REF01138,F017,bleu,synthetique,imprime,hiver,rond,standard,chic,ville
REF01139,F018,rouge,laine,raye,hiver,v,standard,chic,soiree
REF01140,F019,noir,laine,imprime,mi-saison,v,premium,classique,soiree
REF01141,F020,rouge,laine,imprime,hiver,v,premium,classique,soiree
REF01142,F021,rouge,coton,uni,hiver,v,standard,classique,sport
REF01143,F022,bleu,laine,uni,ete,v,standard,chic,soiree
REF01144,F023,noir,laine,uni,mi-saison,rond,premium,sportif,ville
REF01145,F024,bleu,laine,uni,ete,v,premium,chic,ville
REF01146,F025,bleu,coton,imprime,mi-saison,v,premium,classique,sport
REF01147,F026,vert,synthetique,uni,mi-saison,v,standard,chic,soiree
REF01148,F027,bleu,laine,raye,hiver,montant,standard,sportif,sport
REF01149,F028,rouge,lin,raye,hiver,v,standard,classique,sport
REF01150,F029,vert,coton,uni,mi-saison,v,standard,chic,ville
REF01151,F030,bleu,synthetique,uni,ete,montant,standard,sportif,sport
REF01152,F031,rouge,lin,imprime,hiver,v,standard,sportif,ville
REF01153,F032,rouge,synthetique,imprime,mi-saison,rond,premium,classique,ville
REF01154,F033,noir,coton,imprime,hiver,montant,premium,sportif,ville
REF01155,F034,vert,synthetique,uni,ete,v,premium,sportif,sport
REF01156,F035,vert,synthetique,uni,hiver,rond,standard,sportif,sport
REF01157,F036,bleu,laine,raye,ete,v,premium,classique,ville
REF01158,F037,bleu,coton,raye,hiver,montant,standard,classique,ville
REF01159,F038,vert,synthetique,raye,hiver,rond,premium,classique,ville
REF01160,F039,bleu,lin,uni,mi-saison,montant,standard,classique,soiree
REF01161,F040,bleu,lin,raye,mi-saison,v,standard,sportif,sport
REF01162,F041,noir,coton,imprime,mi-saison,v,premium,sportif,ville
REF01163,F042,vert,laine,raye,mi-saison,v,premium,classique,sport
REF01164,F043,bleu,coton,uni,mi-saison,v,premium,sportif,soiree
REF01165,F044,noir,lin,imprime,hiver,v,standard,chic,sport
REF01166,F045,vert,lin,raye,hiver,montant,standard,classique,soiree
REF01167,F046,vert,synthetique,uni,ete,montant,premium,sportif,soiree
REF01168,F047,rouge,synthetique,imprime,mi-saison,rond,premium,chic,soiree
REF01169,F048,rouge,coton,uni,mi-saison,rond,premium,sportif,soiree
REF01170,F049,vert,coton,raye,mi-saison,montant,standard,chic,ville
REF01171,F050,vert,coton,imprime,mi-saison,montant,premium,chic,sport
REF01172,F051,vert,laine,imprime,hiver,montant,standard,sportif,sport
REF01173,F052,rouge,lin,imprime,hiver,v,premium,sportif,soiree
REF01174,F053,vert,lin,uni,mi-saison,rond,premium,sportif,ville
REF01175,F054,vert,lin,uni,mi-saison,v,standard,chic,sport
REF01176,F055,noir,lin,raye,ete,montant,premium,sportif,sport
REF01177,F056,vert,lin,imprime,mi-saison,v,standard,chic,soiree
REF01178,F057,noir,synthetique,imprime,hiver,v,premium,sportif,sport
REF01179,F058,rouge,coton,imprime,mi-saison,v,standard,chic,soiree
REF01180,F059,noir,coton,imprime,hiver,rond,standard,classique,soiree
REF01181,F060,noir,lin,uni,mi-saison,montant,premium,sportif,soiree
REF01182,F061,bleu,coton,uni,mi-saison,v,premium,chic,sport
REF01183,F062,bleu,synthetique,raye,hiver,v,premium,sportif,sport
REF01184,F063,noir,coton,uni,mi-saison,rond,premium,classique,ville
REF01185,F064,noir,synthetique,imprime,ete,rond,premium,chic,ville
REF01186,F065,bleu,lin,uni,hiver,rond,premium,chic,soiree
REF01187,F066,noir,lin,raye,mi-saison,rond,standard,classique,ville
REF01188,F067,noir,lin,uni,hiver,rond,premium,classique,sport
REF01189,F068,vert,synthetique,imprime,ete,v,premium,sportif,sport
REF01190,F069,noir,coton,imprime,hiver,montant,premium,sportif,ville
REF01191,F070,bleu,laine,raye,ete,rond,premium,sportif,ville
REF01192,F071,vert,synthetique,uni,ete,montant,premium,sportif,ville
REF01193,F072,noir,laine,raye,mi-saison,rond,standard,sportif,sport
REF01194,F073,noir,lin,raye,hiver,v,premium,classique,sport
REF01195,F074,rouge,lin,uni,ete,rond,premium,chic,ville
REF01196,F075,bleu,synthetique,uni,hiver,montant,premium,sportif,ville
